,fotdro5,fislov1,hadibi1,pabspa1,gobbun1,whbwea1,gbesta1,yebere1,categr,afrthr1,grwpyt1,chucis1,grbcam1,mabeat1,scrcha1,bkctch1,vimwea1,mouwag1,wtbeat1,whbwhe3,hunsun2,whbtit5,kvbsun1,varsun2,squher1,blhgon1,afrgrp1,crheag1,blnwea1,stusta1,accuracy,macro avg,weighted avg
precision,0.8676470588235294,0.9739130434782609,0.9186991869918699,0.9504950495049505,0.9016393442622951,0.9613821138211383,0.8941176470588236,0.9637681159420289,0.8648648648648649,0.9588910133843213,0.9146341463414634,0.9532710280373832,0.9784735812133072,0.9036144578313253,0.9490835030549898,0.8695652173913043,0.7857142857142857,0.918918918918919,0.9753086419753086,0.92,0.9627329192546584,0.8115942028985508,0.9411764705882353,0.9510357815442562,0.8444444444444444,0.7397260273972602,0.98,0.9662162162162162,0.9770114942528736,0.9235294117647059,0.9455252918287937,0.9173822728990524,0.9454728411507746
recall,0.8805970149253731,0.9696969696969697,0.9338842975206612,0.9056603773584906,0.9166666666666666,0.9653061224489796,0.8636363636363636,0.95,0.7804878048780488,0.9718992248062015,0.8928571428571429,0.9622641509433962,0.9765625,0.9036144578313253,0.9414141414141414,0.7692307692307693,0.7333333333333333,0.9444444444444444,0.9518072289156626,0.92,0.9393939393939394,0.8,0.8,0.9619047619047619,0.8636363636363636,0.75,0.9423076923076923,0.9794520547945206,0.9550561797752809,0.9401197604790419,0.9455252918287937,0.902174458773319,0.9455252918287937
f1-score,0.874074074074074,0.9718004338394793,0.9262295081967213,0.927536231884058,0.9090909090909091,0.9633401221995926,0.8786127167630058,0.9568345323741007,0.8205128205128206,0.9653512993262752,0.9036144578313253,0.9577464788732395,0.9775171065493645,0.9036144578313253,0.945233265720081,0.8163265306122449,0.7586206896551724,0.9315068493150684,0.9634146341463414,0.92,0.9509202453987731,0.8057553956834532,0.8648648648648648,0.956439393939394,0.853932584269663,0.7448275862068966,0.9607843137254902,0.9727891156462585,0.9659090909090908,0.9317507418397626,0.9455252918287937,0.9092983483759615,0.9454015590007248
support,67.0,462.0,484.0,106.0,60.0,980.0,88.0,140.0,41.0,1032.0,252.0,424.0,512.0,83.0,495.0,26.0,30.0,72.0,166.0,25.0,165.0,70.0,20.0,525.0,88.0,72.0,52.0,146.0,89.0,167.0,0.9455252918287937,6939.0,6939.0
